,name,hold_rate,profit,times,hold_status,mornal_gains
0,东方雨虹,0.42820637974272935,22.404847569301364,137,0.864781676681194,20.022640595134472
1,中国平安,0.2580448715699869,3.794628014170552,127,0.8962892186683894,3.4869367864547707
2,中顺洁柔,0.340968293895509,4.085621100053663,195,0.9052196698973005,7.65589454497912
3,五粮液,0.34659742828334367,7.943975639628052,195,0.7715456619577695,7.166252923372345
4,伊利股份,0.1949760478750727,5.484445865670903,195,0.8872349744489204,5.9327957831555995
5,健康元,0.20490321819316704,1.8266595777747932,231,0.8837419406636404,2.328655357705052
6,国瓷材料,0.36442620412893545,11.273983864818439,195,0.9072134447111857,13.57410598572995
7,大北农,0.11584750153672661,2.4764615762459115,177,0.8713195344186208,1.0778127354101121
8,恒瑞医药,0.3614672721160211,6.663752313693951,207,0.9092726234847112,12.989840467244871
9,新希望,0.41275103639948185,2.874531445051245,165,0.9167373260177132,2.2593687061906897
10,晨光文具,0.29694600000407984,2.4520884423329288,111,0.7584556771460573,2.8157641164000773
11,格力电器,0.3072872195527023,3.3073110980918963,167,0.8989990451032818,6.48614822686986
12,海天味业,0.4394430447595181,7.142829347720016,165,0.8013899870063654,9.681767650927249
13,海螺水泥,0.2919910906309963,2.5237662788863995,179,0.8451133425492016,3.3592664930555562
14,涪陵榨菜,0.3313914653337042,7.350000073151163,159,0.9007492973293459,9.176017063577481
15,潍柴动力,0.38812232329138274,4.171837505573281,131,0.9091937701349245,3.5915847641251304
16,爱尔眼科,0.5050706781856511,5.9810821237395055,245,0.8269086290378111,24.70584544598976
17,牧原股份,0.22719589729732168,12.211785499876974,138,0.0,39.88815278712282
18,索菲亚,0.21575123280534597,4.205497557874157,213,0.8851628114042072,6.368279990172648
19,美的集团,0.22484670741448645,5.124858565426575,157,0.8301096334503903,7.00031960398836
20,老百姓,0.014471699174041772,1.1512113077600075,97,0.8575378539131894,0.48473158072092387
21,良品铺子,0.09586285414447175,0.7872793328884247,15,0.7875158122233724,-0.2887318107268731
22,起帆电缆,0.003706821236967821,1.0,0,0.0,-0.14293127179500706
23,通威股份,0.42038174179716586,8.411361853234286,141,0.8674707055159288,9.777857709405493
24,长安汽车,0.25588382449046715,2.0839607543183134,195,0.8332843903782582,2.7609414918122037
