,子公司全称,主要经营地,注册地,业务性质,直接持股比例 (%),间接持股比例 (%),取得方式
0,湖南良品,湖南,湖南,"食品批发兼
零售",100.00,,新设
1,江西良品,江西,江西,"食品批发兼
零售",100.00,,新设
2,四川良品,四川,四川,"食品批发兼
零售",100.00,,新设
3,良品工业,湖北,湖北,"食品批发兼
零售、",100.00,,新设
4,"江苏良品
工业",江苏,江苏,"食品批发兼
零售",100.00,,新设
5,湖北物流,湖北,湖北,"物流运输及
仓储",100.00,,新设
6,河南良品,河南,河南,"食品批发兼
零售",100.00,,新设
7,良品电商,全国,湖北,"网上食品批
发兼零售",90.10,7.32,新设
8,临安良品,浙江,浙江,"食品批发兼
零售、分装",60.00,,"非同一控制
下合并"
9,好利福,湖北,湖北,"食品批发兼
零售、商品
及技术进出
口",63.07,,新设
10,深圳良品,深圳,深圳,"食品批发兼
零售",100.00,,新设
11,陕西良品,陕西,陕西,"食品批发兼
零售",100.00,,新设
12,江苏良品,江苏,江苏,"食品批发兼
零售",100.00,,新设
13,重庆良品,重庆,重庆,"食品批发兼
零售",100.00,,新设
14,宁波商贸,浙江,浙江,"食品批发兼
零售",100.00,,新设
15,广东良品,广东,广东,"食品批发兼
零售",100.00,,新设
16,尚壹食品,湖北,湖北,"食品开发、
食品批发兼
零售、食品
类连锁店经
营管理",100.00,,新设
17,广西良品,广西,广西,"食品批发兼
零售",100.00,,新设
18,浙江良品,浙江,浙江,"食品批发兼
零售",100.00,,新设
19,福建良品,福建,福建,"食品批发兼
零售",100.00,,新设
20,云南良品,云南,云南,"食品批发兼
零售",100.00,,新设
21,山东良品,山东,山东,"食品批发兼
零售",100.00,,新设
22,宁波食品,浙江,浙江,"食品批发兼
零售",100.00,,新设
23,宁波互娱,浙江,浙江,"网上食品批
发兼零售",100.00,,新设
24,良品茶歇,浙江,浙江,"食品零售及
互联网销售",100.00,,新设
25,良品科技,湖北,湖北,"信息技术开
发及应用",100.00,,新设
26,云服务,湖北,湖北,"技术咨询及
技术服务",100.00,,新设
27,门店社群,湖北,湖北,"食品批发兼
零售",100.00,,新设
28,良品购,浙江,浙江,"食品批发兼
零售",75.00,,新设
29,"营养食品
公司",湖北,湖北,"营养食品技
术领域内的
技术研发、
技术咨询与
技术服务",100.00,,新设
30,传媒科技,浙江,浙江,"技术开发、
技术咨询与
技术服务",80.00,,新设
31,酱卤大叔,浙江,浙江,企业管理,99.90,,新设
